Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  473   1156.49    237.00       473     1
  474   1160.97    237.00       474     1
  475   1167.66    238.00       475     1
  476   1177.02    238.00       476     1
  477   1160.17    239.00       477     1
  478   1162.78    239.00       478     1
  479   1169.21    240.00       479     1
  480   1161.17    240.00       480     1
  481   1158.92    241.00       481     1
  482   1175.08    241.00       482     1
  483   1157.31    242.00       483     1
  484   1184.13    242.00       484     1
  485   1162.58    243.00       485     1
  486   1173.46    243.00       486     1
  487   1173.45    244.00       487     1
  488   1169.63    244.00       488     1
  489   1165.19    245.00       489     1
  490   1171.84    245.00       490     1
  491   1162.79    246.00       491     1
  492   1167.32    246.00       492     1
  493   1170.43    247.00       493     1
  494   1176.07    247.00       494     1
  495   1181.35    248.00       495     1
  496   1180.75    248.00       496     1
  497   1181.75    249.00       497     1
  498   1181.08    249.00       498     1
  499   1193.45    250.00       499     1
  500   1192.10    250.00       500     1
  501   1192.71    251.00       501     1
  502   1193.45    251.00       502     1
  503   1192.33    252.00       503     1
  504   1196.41    252.00       504     1
  505   1191.17    253.00       505     1
  506   1192.94    253.00       506     1
  507   1204.99    254.00       507     1
  508   1196.75    254.00       508     1
  509   1207.56    255.00       509     1
  510   1200.98    255.00       510     1
  511   1209.82    256.00       511     1
  512   1197.03    256.00       512     1
  513   1197.62    257.00       513     1
  514   1224.09    257.00       514     1
  515   1216.16    258.00       515     1
  516   1221.51    258.00       516     1
  517   1221.64    259.00       517     1
  518   1224.03    259.00       518     1
  519   1245.57    260.00       519     1
  520   1240.50    260.00       520     1
  521   1288.31    261.00       521     1
  522   1248.62    261.00       522     1
  523   1242.81    262.00       523     1
  524   1229.81    262.00       524     1
  525   1228.42    263.00       525     1
  526   1225.91    263.00       526     1
  527   1229.75    264.00       527     1
  528   1222.80    264.00       528     1
  529   1228.41    265.00       529     1
  530   1233.13    265.00       530     1
  531   1235.24    266.00       531     1
  532   1252.31    266.00       532     1
  533   1233.23    267.00       533     1
  534   1238.50    267.00       534     1
  535   1240.77    268.00       535     1
  536   1244.68    268.00       536     1
  537   1238.70    269.00       537     1
  538   1243.92    269.00       538     1
  539   1241.89    270.00       539     1
  540   1237.09    270.00       540     1
